"Bill of Material for "
"On 8/5/2017 at 11:57:02 AM"

"Comment","Pattern","Quantity","Components"

"12V Converter Connector","431602103 HEADER W/ PLUG","1","P6A",""
"3588","PROTECTED FUSE CLIP","3","F1A, F2A, F3A","Fuse Holder Assembly"
"Computer Power + USB Connector","43045-0812 Microfit Header w/ plug","1","P4A",""
"Conversion Board","ICV 2,5/ 6-G-5,08","1","P3A","Header, 6-Pin"
"Fan Connector","533750210 header w/ plug","1","P10A",""
"Header","1x2 Header","4","X1A, X5A, X6A, X7A","1x2 Header"
"Header","2x2 Header w/ division","2","X2A, X3A","2x2 Header"
"Kill Switch Connector","533750210 header w/ plug","1","P8A",""
"Main Battery Connector","431602104 HEADER W/ PLUG","1","P1A",""
"Power Board","ICV 2,5/10-G-5,08","1","P2A","Header, 10-Pin"
"Secondary Kill Switch","533750210 header w/ plug","1","P11A",""
"Sensor Board","ICV 2,5/10-G-5,08","1","P7A","Header, 10-Pin"
"Serial Board","ICV 2,5/10-G-5,08","1","P9A","Header, 10-Pin"
"SW-SPST","SPST-2","1","S1","Single-Pole, Single-Throw Switch"
"Thruster Board","ICV 2,5/ 6-G-5,08","1","P5A","Header, 6-Pin"
