Field=Description~String~Description~100|Field=Value~String~Value~100|Field=Designator~String~Designator~100|Field=Footprint~String~Footprint~100|Field=LibRef~String~LibRef~100|Field=Manufacturer Part Number 1~String~Manufacturer Part Number 1~100|Field=Quantity~Integer~Quantity~100|Field=Supplier 1~String~Supplier 1~100|Field=Supplier Unit Price 1~Float~Supplier Unit Price 1~100|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~Power Board.PrjPcb|ReportField=ProjectFullPath~C:\Users\Josh\Dropbox\Electrical\Seawolf VII\Power Board\Power Board.PrjPcb|ReportField=Title~Bill of Materials For Schematic Document [Power Conditioning.SchDoc]|ReportField=TotalQuantity~21|ReportField=ReportTime~4:31:47 PM|ReportField=ReportDate~11/27/2015|ReportField=ReportDateTime~11/27/2015 4:31:47 PM|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=Address1~c/o Student Involvement|ReportField=Address2~Campus Box 7306|ReportField=Address3~2016 Cates Ave. Raleigh, NC 27695|ReportField=Address4~|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=ConfigurationParameters~|ReportField=ConfiguratorName~|ReportField=CurrentDate~11/27/2015|ReportField=CurrentTime~4:31:42 PM|ReportField=Date~|ReportField=DocumentFullPathAndName~C:\Users\Josh\Dropbox\Electrical\Seawolf VII\Power Board\Power Conditioning.SchDoc|ReportField=DocumentName~Power Conditioning.SchDoc|ReportField=DocumentNumber~|ReportField=DrawnBy~|ReportField=Engineer~|ReportField=ImagePath~|ReportField=IsUserConfigurable~|ReportField=ModifiedDate~11/26/2015|ReportField=Organization~Underwater Robotics|ReportField=PageSetup~Record=PageOptions:CenterHorizontal=True:CenterVertical=True:PrintScale=1.00:XCorrection=1.00:YCorrection=1.00:PrintKind=0:BorderSize=5000000:LeftOffset=0:BottomOffset=0:Orientation=2:PaperLength=1000:PaperWidth=1000:Scale=100:PaperSource=7:PrintQuality=-3:MediaType=1:DitherType=10:PrintScaleMode=1:PaperKind=Letter:PaperIndex=1|ReportField=ProjectName~Power Board.PrjPcb|ReportField=Revision~A1|ReportField=Rule~|ReportField=SheetNumber~3B|ReportField=SheetTotal~3B|ReportField=Time~|ReportField=Title~|ReportField=VersionControl_RevNumber~|ReportField=DataSourceFileName~Power Conditioning.SchDoc|ReportField=DataSourceFullPath~C:\Users\Josh\Dropbox\Electrical\Seawolf VII\Power Board\Power Conditioning.SchDoc
||C4B, C8B|5mm Radial Cap, Generic|330uF, Panasonic, 35V|ECA-1VHG331|2|Newark|0.575
Unpolarized Capacitor|.1uF|C6B, C7B|C0402|Cap|Supplier disabled|2|Digi-Key|
General Purpose Diode||D1B, D2B|DO-35-0.3|Diode||2||
Generic Fuse||F1B, F2B|LVR008NS - Resettable Fuse|PTC Fuse, LVR008NS|LVR008NS|2|Newark|0.46
1x2 Header||P4B|1x2 Header|1x2 Header||1||
N-Channel MOSFET||Q1B|2N7002-SOT23|N-MOSFET|Supplier disabled|1|Digi-Key|
Resistor|1K|R2B, R3B, R4B, R5B|R0603|Res||4||
24V, 33A General Purpose Relay||REL1B, REL2B|LF-G Series Relay|ALFG2PF24|ALFG2PF24|2|Newark|6.62
Tactile Switch (OFF-MOM)||S1B, S2B|FSM2JSMA|FSM2JSMA|Loading...|2|Newark|
||U3B, U4B|AC714 Current Sensor|AC715 Current Sensor||2||
5V, 0.1A Fixed LDO||U6B|LM4040-SOT23-3|LM3480|Loading...|1|Newark|
