Removed Member From Class: ClassName=ThrusterPower Member=24V_GND
Added Pin To Net: NetName=GND Pin=MC1F_M1-GND
Added Pin To Net: NetName=GND Pin=MC1F_M1-GND
Added Pin To Net: NetName=GND Pin=MC1F_M1-GND
Added Pin To Net: NetName=GND Pin=MC1F_M2-GND
Added Pin To Net: NetName=GND Pin=MC1F_M2-GND
Added Pin To Net: NetName=GND Pin=MC1F_M2-GND
Added Pin To Net: NetName=GND Pin=MC1F_M3-GND
Added Pin To Net: NetName=GND Pin=MC1F_M3-GND
Added Pin To Net: NetName=GND Pin=MC1F_M3-GND
Added Pin To Net: NetName=GND Pin=MC1F_M4-GND
Added Pin To Net: NetName=GND Pin=MC1F_M4-GND
Added Pin To Net: NetName=GND Pin=MC1F_M4-GND
Added Pin To Net: NetName=GND Pin=MC1F_M5-GND
Added Pin To Net: NetName=GND Pin=MC1F_M5-GND
Added Pin To Net: NetName=GND Pin=MC1F_M5-GND
Added Pin To Net: NetName=GND Pin=MC1F_M6-GND
Added Pin To Net: NetName=GND Pin=MC1F_M6-GND
Added Pin To Net: NetName=GND Pin=MC1F_M6-GND
Added Pin To Net: NetName=GND Pin=P1F-6
